District,Building name,Last date of residence of the case(s),Related probable/confirmed cases,long_address,LatLong
Central & Western,Scenic Rise (non-residential),14/03/2020,208,"Scenic Rise (non-residential), Central & Western","22.28053,114.15209"
Central & Western,Scenic Rise (non-residential),14/03/2020,315,"Scenic Rise (non-residential), Central & Western","22.28053,114.15209"
Central & Western,The Grand Stage (non-residential),14/03/2020,170,"The Grand Stage (non-residential), Central & Western","22.45768,114.18944"
Tuen Mun,Kam Men Mansion (non-residential),14/03/2020,170,"Kam Men Mansion (non-residential), Tuen Mun","22.40242,113.97787"
Tsuen Wan,Royal View Hotel (non-residential),14/03/2020,170,"Royal View Hotel (non-residential), Tsuen Wan","22.36862,114.07808"
Tuen Mun,The Sherwood (non-residential),14/03/2020,170,"The Sherwood (non-residential), Tuen Mun","22.42041,113.98572"
Tuen Mun,1 Lam Tei Main Street (non-residential),14/03/2020,170,"1 Lam Tei Main Street (non-residential), Tuen Mun","22.41925,113.98299"
Sai Kung,10A-C Po Tung Rd (non-residential),14/03/2020,182,"10A-C Po Tung Rd (non-residential), Sai Kung","22.38308,114.26983"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,191,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,233,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,237,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,253,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,258,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,259,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,287,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,295,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,332,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,373,"Auberge Discovery Bay Hong Kong (non-residential), Islands","22.30433,114.01191"
Yau Tsim Mong,Wing On Plaza (non-residential),14/03/2020,191,"Wing On Plaza (non-residential), Yau Tsim Mong","22.2967,114.17644"
Yau Tsim Mong,Wing On Plaza (non-residential),14/03/2020,373,"Wing On Plaza (non-residential), Yau Tsim Mong","22.2967,114.17644"
Central & Western,Standard Chartered Bank Building (non-residential),14/03/2020,194,"Standard Chartered Bank Building (non-residential), Central & Western","22.28611,114.14623"
Central & Western,37-44 Cochrane Street (non-residential),14/03/2020,217,"37-44 Cochrane Street (non-residential), Central & Western","22.28276,114.15394"
Central & Western,20A D'Aguilar Street (non-residential),14/03/2020,217,"20A D'Aguilar Street (non-residential), Central & Western","22.28112,114.15574"
Yau Tsim Mong,Harbour Crystal Centre (non-residential),14/03/2020,233,"Harbour Crystal Centre (non-residential), Yau Tsim Mong","22.30087,114.17833"
Yau Tsim Mong,Harbour Crystal Centre (non-residential),14/03/2020,253,"Harbour Crystal Centre (non-residential), Yau Tsim Mong","22.30087,114.17833"
Yau Tsim Mong,Harbour Crystal Centre (non-residential),14/03/2020,259,"Harbour Crystal Centre (non-residential), Yau Tsim Mong","22.30087,114.17833"
Yau Tsim Mong,Harbour Crystal Centre (non-residential),14/03/2020,295,"Harbour Crystal Centre (non-residential), Yau Tsim Mong","22.30087,114.17833"
Yau Tsim Mong,Harilela Mansion (non-residential),14/03/2020,250,"Harilela Mansion (non-residential), Yau Tsim Mong","22.29747,114.17181"
Yau Tsim Mong,23 Lock Road (non-residential),14/03/2020,250,"23 Lock Road (non-residential), Yau Tsim Mong","22.29759,114.17142"
Central & Western,83 Catchick Street (non-residential),14/03/2020,318,"83 Catchick Street (non-residential), Central & Western","22.28329,114.12745"
Wan Chai,South China Athletic Association (non-residential),14/03/2020,318,"South China Athletic Association (non-residential), Wan Chai","22.27549,114.18668"
Kwai Tsing,Kwai Chung Plaza (non-residential),14/03/2020,337,"Kwai Chung Plaza (non-residential), Kwai Tsing","22.3581,114.12762"
Wan Chai,Golden Hill Mansion (non-residential),14/03/2020,345,"Golden Hill Mansion (non-residential), Wan Chai","22.278,114.17497"
Wan Chai,258 Queen's Road East (non-residential),14/03/2020,345,"258 Queen's Road East (non-residential), Wan Chai","22.27527,114.17369"
Tuen Mun,2 Hoi Chu Road (non-residential),15/03/2020,152,"2 Hoi Chu Road (non-residential), Tuen Mun","22.3837,113.97179"
North,"Lai Ming House, Wah Ming Estate (non-residential)",15/03/2020,155,"Lai Ming House, Wah Ming Estate (non-residential), North","22.48514,114.14005"
Central & Western,JW Marriott Hotel Hong Kong (non-residential),15/03/2020,156,"JW Marriott Hotel Hong Kong (non-residential), Central & Western","22.2775,114.16633"
Yau Tsim Mong,Kam San Building 78-86 Reclamation Street (non-residential),15/03/2020,159,"Kam San Building 78-86 Reclamation Street (non-residential), Yau Tsim Mong","22.30822,114.16966"
Tuen Mun,Tuen Mun Town Plaza (non-residential),15/03/2020,161,"Tuen Mun Town Plaza (non-residential), Tuen Mun","22.39406,113.97625"
Tuen Mun,Tuen Mun Trend Plaza (non-residential),15/03/2020,161,"Tuen Mun Trend Plaza (non-residential), Tuen Mun","22.39227,113.97584"
Southern,Union Industrial Building (non-residential),15/03/2020,169,"Union Industrial Building (non-residential), Southern","22.24888,114.16751"
Southern,Union Industrial Building (non-residential),15/03/2020,208,"Union Industrial Building (non-residential), Southern","22.24888,114.16751"
Southern,Union Industrial Building (non-residential),15/03/2020,277,"Union Industrial Building (non-residential), Southern","22.24888,114.16751"
Southern,Union Industrial Building (non-residential),15/03/2020,315,"Union Industrial Building (non-residential), Southern","22.24888,114.16751"
Southern,Union Industrial Building (non-residential),15/03/2020,375,"Union Industrial Building (non-residential), Southern","22.24888,114.16751"
Wan Chai,14 Tai Wong Street East (non-residential),15/03/2020,169,"14 Tai Wong Street East (non-residential), Wan Chai","22.27581,114.17141"
Eastern,Cheerful Garden (non-residential),15/03/2020,170,"Cheerful Garden (non-residential), Eastern","22.26301,114.25007"
Sha Tin,Courtyard by Marriott Hong Kong (non-residential),15/03/2020,171,"Courtyard by Marriott Hong Kong (non-residential), Sha Tin","22.39095,114.20659"
Sha Tin,Jubilee Square (non-residential),15/03/2020,172,"Jubilee Square (non-residential), Sha Tin","22.3971,114.1999"
Sham Shui Po,323 Lai Chi Kok Rd (non-residential),15/03/2020,191,"323 Lai Chi Kok Rd (non-residential), Sham Shui Po","22.32857,114.16012"
Sham Shui Po,225 Ki Lung Street (non-residential),15/03/2020,191,"225 Ki Lung Street (non-residential), Sham Shui Po","22.3299,114.16036"
Central & Western,Printing House (non-residential),15/03/2020,194,"Printing House (non-residential), Central & Western","22.2798,114.15717"
Wan Chai,9 Star Street (non-residential),15/03/2020,195,"9 Star Street (non-residential), Wan Chai","22.27633,114.16752"
Yau Tsim Mong,Langham Hotel Hong Kong (non-residential),15/03/2020,195,"Langham Hotel Hong Kong (non-residential), Yau Tsim Mong","22.29662,114.16978"
Wan Chai,Sun Fung Mansion (non-residential),15/03/2020,195,"Sun Fung Mansion (non-residential), Wan Chai","22.28495,114.1925"
Central & Western,46 Wyndham Street (non-residential),15/03/2020,217,"46 Wyndham Street (non-residential), Central & Western","22.28023,114.15486"
Central & Western,60 Wyndham Street (non-residential),15/03/2020,217,"60 Wyndham Street (non-residential), Central & Western","22.28058,114.15466"
Central & Western,5 Lan Kwai Fong (non-residential),15/03/2020,217,"5 Lan Kwai Fong (non-residential), Central & Western","22.28074,114.15575"
Central & Western,Hong Kong Plaza (non-residential),15/03/2020,250,"Hong Kong Plaza (non-residential), Central & Western","22.28871,114.14935"
Yau Tsim Mong,Sino Cheer Plaza (non-residential),16/03/2020,159,"Sino Cheer Plaza (non-residential), Yau Tsim Mong","22.30547,114.17085"
Yau Tsim Mong,"Harvest Moon House, 337 - 339 Nathan Road (non-residential)",16/03/2020,159,"Harvest Moon House, 337 - 339 Nathan Road (non-residential), Yau Tsim Mong","22.30689,114.17122"
Yau Tsim Mong,"Hang Shing Building, 363 Nathan Road (non-residential)",16/03/2020,159,"Hang Shing Building, 363 Nathan Road (non-residential), Yau Tsim Mong","22.30797,114.17105"
Southern,Stanley Plaza (non-residential),16/03/2020,160,"Stanley Plaza (non-residential), Southern","22.21988,114.20943"
Central & Western,Admiralty Centre Tower 1 (non-residential),16/03/2020,161,"Admiralty Centre Tower 1 (non-residential), Central & Western","22.27945,114.16485"
Wan Chai,Win Fung Building (non-residential),16/03/2020,169,"Win Fung Building (non-residential), Wan Chai","22.44415,114.02454"
Wan Chai,Win Fung Building (non-residential),16/03/2020,208,"Win Fung Building (non-residential), Wan Chai","22.44415,114.02454"
Sha Tin,The Palazzo Shopping Centre (non-residential),16/03/2020,172,"The Palazzo Shopping Centre (non-residential), Sha Tin","22.33304,114.1523"
Yau Tsim Mong,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential)",16/03/2020,174,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential), Yau Tsim Mong","22.30308,114.17516"
Yau Tsim Mong,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential)",16/03/2020,222,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential), Yau Tsim Mong","22.30308,114.17516"
Yau Tsim Mong,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential)",16/03/2020,243,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential), Yau Tsim Mong","22.30308,114.17516"
Yau Tsim Mong,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential)",16/03/2020,285,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential), Yau Tsim Mong","22.30308,114.17516"
Yau Tsim Mong,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential)",16/03/2020,286,"152 Austin Road, Tsim Sha Tsui, Kowloon (non-residential), Yau Tsim Mong","22.30308,114.17516"
Central & Western,Nan Dao Commercial Building (non-residential),16/03/2020,177,"Nan Dao Commercial Building (non-residential), Central & Western","22.28626,114.1494"
Central & Western,Nan Dao Commercial Building (non-residential),16/03/2020,178,"Nan Dao Commercial Building (non-residential), Central & Western","22.28626,114.1494"
