District,Building name,Last date of residence of the case(s),Related probable/confirmed cases,long_address,LatLong
Wan Chai,Telecom House (non-residential),18/03/2020,377,"Telecom House (non-residential), Wan Chai","22.27983,114.17104"
Islands,Tung Chung Crescent (non-residential),19/03/2020,212,"Tung Chung Crescent (non-residential), Islands","22.29263,113.94276"
Islands,Tung Chung Crescent (non-residential),19/03/2020,271,"Tung Chung Crescent (non-residential), Islands","22.29263,113.94276"
Eastern,Technology Plaza (non-residential),19/03/2020,229,"Technology Plaza (non-residential), Eastern","22.29199,114.20746"
Yuen Long,Tin Shui Shopping Center (non-residential),19/03/2020,231,"Tin Shui Shopping Center (non-residential), Yuen Long","22.37414,113.961"
Tuen Mun,Tuen Mun Parkland Square (non-residential),19/03/2020,244,"Tuen Mun Parkland Square (non-residential), Tuen Mun","22.4101,113.98143"
Sai Kung,Ming Tak Shopping Centre (non-residential),19/03/2020,256,"Ming Tak Shopping Centre (non-residential), Sai Kung","22.31669,114.26875"
Central & Western,"Phase 1, IFC (non-residential)",19/03/2020,270,"Phase 1, IFC (non-residential), Central & Western","22.28676,114.13446"
Sham Shui Po,67 Broadway (non-residential),19/03/2020,270,"67 Broadway (non-residential), Sham Shui Po","22.33637,114.13947"
Sham Shui Po,Cheung Lung Industrial Building (non-residential),19/03/2020,291,"Cheung Lung Industrial Building (non-residential), Sham Shui Po","22.33641,114.14836"
Sham Shui Po,Cheung Lung Industrial Building (non-residential),19/03/2020,312,"Cheung Lung Industrial Building (non-residential), Sham Shui Po","22.33641,114.14836"
Kowloon City,15 Kent Road (non-residential),19/03/2020,340,"15 Kent Road (non-residential), Kowloon City","22.33748,114.17613"
Kowloon City,360 Prince Edward Road (non-residential),19/03/2020,349,"360 Prince Edward Road (non-residential), Kowloon City","22.32757,114.18734"
Tai Po,21 Nam Shing Street (non-residential),19/03/2020,377,"21 Nam Shing Street (non-residential), Tai Po","22.44815,114.16601"
Kwai Tsing,Shek Yam Shopping Centre (non-residential),20/03/2020,263,"Shek Yam Shopping Centre (non-residential), Kwai Tsing","22.37156,114.13859"
Central & Western,97 Hollywood Road (non-residential),20/03/2020,266,"97 Hollywood Road (non-residential), Central & Western","22.28385,114.15216"
Sha Tin,Union Hospital (non-residential),20/03/2020,317,"Union Hospital (non-residential), Sha Tin","22.36086,114.17516"
Wan Chai,Wu Chung House (non-residential),20/03/2020,325,"Wu Chung House (non-residential), Wan Chai","22.27428,114.1727"
Central & Western,One Exchange Square (non-residential),20/03/2020,339,"One Exchange Square (non-residential), Central & Western","22.28343,114.15837"
Eastern,Parker33 (non-residential),20/03/2020,339,"Parker33 (non-residential), Eastern","22.28152,114.22101"
Eastern,Siu Sai Wan Plaza (non-residential),20/03/2020,340,"Siu Sai Wan Plaza (non-residential), Eastern","22.26268,114.24875"
Tai Po,22 Wai Yan Street (non-residential),20/03/2020,377,"22 Wai Yan Street (non-residential), Tai Po","22.4484,114.1659"
Tai Po,48 Po Heung Street (non-residential),20/03/2020,377,"48 Po Heung Street (non-residential), Tai Po","22.44728,114.16618"
Wong Tai Sin,Kai Tak Garden Shopping Arcade (non-residential),21/03/2020,275,"Kai Tak Garden Shopping Arcade (non-residential), Wong Tai Sin","22.33802,114.19417"
Southern,Le Meridien Cyberport (non-residential),21/03/2020,316,"Le Meridien Cyberport (non-residential), Southern","22.26187,114.12948"
Sha Tin,16 Science Park Avenue (non-residential),21/03/2020,333,"16 Science Park Avenue (non-residential), Sha Tin","22.4281,114.20883"
Tai Po,Uptown Plaza (non-residential),21/03/2020,377,"Uptown Plaza (non-residential), Tai Po","22.44432,114.16894"
Central & Western,Wah Po Building (non-residential),24/03/2020,319,"Wah Po Building (non-residential), Central & Western","22.28394,114.12914"
