As of date,As of time,Mainland China,Number of reported/confirmed cases,Number of deaths,Remark,Number of newly confirmed cases reported in the past 14 days
20/02/2020,9:00,Jiangsu,631,0,,
20/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,1,,
20/02/2020,9:00,Qinghai,18,0,,
20/02/2020,9:00,Tibet Autonomous Region,1,0,,
20/02/2020,18:00,Beijing,395,4,,
20/02/2020,18:00,Liaoning,121,1,,
20/02/2020,18:00,Anhui,987,6,,
20/02/2020,18:00,Chongqing,560,5,,
20/02/2020,18:00,Shaanxi,245,1,,
20/02/2020,18:00,Tianjin,130,3,,
20/02/2020,18:00,Fujian,293,1,,
20/02/2020,18:00,Hunan,1010,4,,
20/02/2020,18:00,Sichuan,520,3,,
20/02/2020,18:00,Gansu,91,2,,
20/02/2020,18:00,Heilongjiang,476,12,,
20/02/2020,18:00,Jiangxi,934,1,,
20/02/2020,18:00,Guangdong,1332,5,,
20/02/2020,18:00,Guizhou,146,2,,
20/02/2020,18:00,Shanghai,334,2,,
20/02/2020,18:00,Shandong,546,4,,
20/02/2020,18:00,Guangxi Zhuang Autonomous Region,245,2,,
20/02/2020,18:00,Yunnan,173,1,,
20/02/2020,18:00,Inner Mongolia Autonomous Region,75,0,,
20/02/2020,18:00,Zhejiang,1175,0,,
20/02/2020,18:00,Henan,1265,19,,
20/02/2020,18:00,Hebei,307,5,,
20/02/2020,18:00,Hainan,168,4,,
20/02/2020,18:00,Jilin,91,1,,
20/02/2020,18:00,Shanxi,131,0,,
20/02/2020,18:00,Ningxia Hui Autonomous Region,71,0,,
20/02/2020,18:00,Jiangsu,631,0,,
20/02/2020,18:00,Xinjiang Uygur Autonomous Region,76,1,,
20/02/2020,18:00,Qinghai,18,0,,
20/02/2020,18:00,Tibet Autonomous Region,1,0,,
20/02/2020,23:59,Hubei,62662,2144,,
21/02/2020,9:00,Beijing,395,4,,
21/02/2020,9:00,Liaoning,121,1,,
21/02/2020,9:00,Anhui,987,6,,
21/02/2020,9:00,Chongqing,567,6,,
21/02/2020,9:00,Shaanxi,245,1,,
21/02/2020,9:00,Tianjin,131,3,,
21/02/2020,9:00,Fujian,293,1,,
21/02/2020,9:00,Hunan,1010,4,,
21/02/2020,9:00,Sichuan,520,3,,
21/02/2020,9:00,Gansu,91,2,,
21/02/2020,9:00,Heilongjiang,479,12,,
21/02/2020,9:00,Jiangxi,934,1,,
21/02/2020,9:00,Guangdong,1332,5,,
21/02/2020,9:00,Guizhou,146,2,,
21/02/2020,9:00,Shanghai,334,2,,
21/02/2020,9:00,Shandong,546,4,,
21/02/2020,9:00,Guangxi Zhuang Autonomous Region,246,2,,
21/02/2020,9:00,Yunnan,174,2,,
21/02/2020,9:00,Inner Mongolia Autonomous Region,75,0,,
21/02/2020,9:00,Zhejiang,1175,1,,
21/02/2020,9:00,Henan,1267,19,,
21/02/2020,9:00,Hebei,308,5,,
21/02/2020,9:00,Hainan,168,4,,
21/02/2020,9:00,Jilin,91,1,,
21/02/2020,9:00,Shanxi,132,0,,
21/02/2020,9:00,Ningxia Hui Autonomous Region,71,0,,
21/02/2020,9:00,Jiangsu,631,0,,
21/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,1,,
21/02/2020,9:00,Qinghai,18,0,,
21/02/2020,9:00,Tibet Autonomous Region,1,0,,
21/02/2020,18:00,Beijing,396,4,,
21/02/2020,18:00,Liaoning,121,1,,
21/02/2020,18:00,Anhui,988,6,,
21/02/2020,18:00,Chongqing,567,6,,
21/02/2020,18:00,Shaanxi,245,1,,
21/02/2020,18:00,Tianjin,132,3,,
21/02/2020,18:00,Fujian,293,1,,
21/02/2020,18:00,Hunan,1011,4,,
21/02/2020,18:00,Sichuan,525,3,,
21/02/2020,18:00,Gansu,91,2,,
21/02/2020,18:00,Heilongjiang,479,12,,
21/02/2020,18:00,Jiangxi,934,1,,
21/02/2020,18:00,Guangdong,1333,5,,
21/02/2020,18:00,Guizhou,146,2,,
21/02/2020,18:00,Shanghai,334,2,,
21/02/2020,18:00,Shandong,749,4,,
21/02/2020,18:00,Guangxi Zhuang Autonomous Region,246,2,,
21/02/2020,18:00,Yunnan,174,2,,
21/02/2020,18:00,Inner Mongolia Autonomous Region,75,0,,
21/02/2020,18:00,Zhejiang,1203,1,,
21/02/2020,18:00,Henan,1267,19,,
21/02/2020,18:00,Hebei,308,5,,
21/02/2020,18:00,Hainan,168,4,,
21/02/2020,18:00,Jilin,91,1,,
21/02/2020,18:00,Shanxi,132,0,,
21/02/2020,18:00,Ningxia Hui Autonomous Region,71,0,,
21/02/2020,18:00,Jiangsu,631,0,,
21/02/2020,18:00,Xinjiang Uygur Autonomous Region,76,1,,
21/02/2020,18:00,Qinghai,18,0,,
21/02/2020,18:00,Tibet Autonomous Region,1,0,,
21/02/2020,23:59,Hubei,63454,2250,,
22/02/2020,9:00,Beijing,399,4,,
22/02/2020,9:00,Liaoning,121,1,,
22/02/2020,9:00,Anhui,989,6,,
22/02/2020,9:00,Chongqing,572,6,,
22/02/2020,9:00,Shaanxi,245,1,,
22/02/2020,9:00,Tianjin,133,3,,
22/02/2020,9:00,Fujian,293,1,,
22/02/2020,9:00,Hunan,1013,4,,
22/02/2020,9:00,Sichuan,526,3,,
22/02/2020,9:00,Gansu,91,2,,
22/02/2020,9:00,Heilongjiang,479,12,,
22/02/2020,9:00,Jiangxi,934,1,,
22/02/2020,9:00,Guangdong,1339,5,,
22/02/2020,9:00,Guizhou,146,2,,
22/02/2020,9:00,Shanghai,334,3,,
22/02/2020,9:00,Shandong,750,4,,
22/02/2020,9:00,Guangxi Zhuang Autonomous Region,249,2,,
22/02/2020,9:00,Yunnan,174,2,,
22/02/2020,9:00,Inner Mongolia Autonomous Region,75,0,,
22/02/2020,9:00,Zhejiang,1205,1,,
22/02/2020,9:00,Henan,1270,19,,
22/02/2020,9:00,Hebei,309,6,,
22/02/2020,9:00,Hainan,168,4,,
22/02/2020,9:00,Jilin,91,1,,
22/02/2020,9:00,Shanxi,132,0,,
22/02/2020,9:00,Ningxia Hui Autonomous Region,71,0,,
22/02/2020,9:00,Jiangsu,631,0,,
22/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,2,,
22/02/2020,9:00,Qinghai,18,0,,
22/02/2020,9:00,Tibet Autonomous Region,1,0,,
22/02/2020,18:00,Beijing,399,4,,
22/02/2020,18:00,Liaoning,121,1,,
22/02/2020,18:00,Anhui,989,6,,
22/02/2020,18:00,Chongqing,572,6,,
22/02/2020,18:00,Shaanxi,245,1,,
22/02/2020,18:00,Tianjin,135,3,,
22/02/2020,18:00,Fujian,293,1,,
22/02/2020,18:00,Hunan,1013,4,,
22/02/2020,18:00,Sichuan,526,3,,
22/02/2020,18:00,Gansu,91,2,,
22/02/2020,18:00,Heilongjiang,479,12,,
22/02/2020,18:00,Jiangxi,934,1,,
22/02/2020,18:00,Guangdong,1339,5,,
22/02/2020,18:00,Guizhou,146,2,,
22/02/2020,18:00,Shanghai,335,3,,
22/02/2020,18:00,Shandong,750,4,,
22/02/2020,18:00,Guangxi Zhuang Autonomous Region,249,2,,
22/02/2020,18:00,Yunnan,174,2,,
22/02/2020,18:00,Inner Mongolia Autonomous Region,75,0,,
22/02/2020,18:00,Zhejiang,1205,1,,
22/02/2020,18:00,Henan,1270,19,,
22/02/2020,18:00,Hebei,309,6,,
22/02/2020,18:00,Hainan,168,4,,
22/02/2020,18:00,Jilin,91,1,,
22/02/2020,18:00,Shanxi,132,0,,
22/02/2020,18:00,Ningxia Hui Autonomous Region,71,0,,
22/02/2020,18:00,Jiangsu,631,0,,
22/02/2020,18:00,Xinjiang Uygur Autonomous Region,76,2,,
22/02/2020,18:00,Qinghai,18,0,,
22/02/2020,18:00,Tibet Autonomous Region,1,0,,
22/02/2020,23:59,Hubei,64084,2346,,
23/02/2020,9:00,Beijing,399,4,,
23/02/2020,9:00,Liaoning,121,1,,
23/02/2020,9:00,Anhui,989,6,,
23/02/2020,9:00,Chongqing,573,6,,
23/02/2020,9:00,Shaanxi,245,1,,
23/02/2020,9:00,Tianjin,135,3,,
23/02/2020,9:00,Fujian,293,1,,
23/02/2020,9:00,Hunan,1013,4,,
23/02/2020,9:00,Sichuan,526,3,,
23/02/2020,9:00,Gansu,91,2,,
23/02/2020,9:00,Heilongjiang,479,12,,
23/02/2020,9:00,Jiangxi,934,1,,
23/02/2020,9:00,Guangdong,1342,5,,
23/02/2020,9:00,Guizhou,146,2,,
23/02/2020,9:00,Shanghai,335,3,,
23/02/2020,9:00,Shandong,750,4,,
23/02/2020,9:00,Guangxi Zhuang Autonomous Region,249,2,,
23/02/2020,9:00,Yunnan,174,2,,
23/02/2020,9:00,Inner Mongolia Autonomous Region,75,0,,
23/02/2020,9:00,Zhejiang,1205,1,,
23/02/2020,9:00,Henan,1270,19,,
23/02/2020,9:00,Hebei,311,6,,
23/02/2020,9:00,Hainan,168,4,,
23/02/2020,9:00,Jilin,91,1,,
23/02/2020,9:00,Shanxi,132,0,,
23/02/2020,9:00,Ningxia Hui Autonomous Region,71,0,,
23/02/2020,9:00,Jiangsu,631,0,,
23/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,2,,
23/02/2020,9:00,Qinghai,18,0,,
23/02/2020,9:00,Tibet Autonomous Region,1,0,,
23/02/2020,18:00,Beijing,399,4,,
23/02/2020,18:00,Liaoning,121,1,,
23/02/2020,18:00,Anhui,989,6,,
23/02/2020,18:00,Chongqing,573,6,,
23/02/2020,18:00,Shaanxi,245,1,,
23/02/2020,18:00,Tianjin,135,3,,
23/02/2020,18:00,Fujian,293,1,,
23/02/2020,18:00,Hunan,1016,4,,
23/02/2020,18:00,Sichuan,526,3,,
23/02/2020,18:00,Gansu,91,2,,
23/02/2020,18:00,Heilongjiang,480,12,,
23/02/2020,18:00,Jiangxi,934,1,,
23/02/2020,18:00,Guangdong,1342,6,,
23/02/2020,18:00,Guizhou,146,2,,
23/02/2020,18:00,Shanghai,335,3,,
23/02/2020,18:00,Shandong,754,4,,
23/02/2020,18:00,Guangxi Zhuang Autonomous Region,249,2,,
23/02/2020,18:00,Yunnan,174,2,,
23/02/2020,18:00,Inner Mongolia Autonomous Region,75,0,,
23/02/2020,18:00,Zhejiang,1205,1,,
23/02/2020,18:00,Henan,1271,19,,
23/02/2020,18:00,Hebei,311,6,,
23/02/2020,18:00,Hainan,168,4,,
23/02/2020,18:00,Jilin,91,1,,
23/02/2020,18:00,Shanxi,132,0,,
23/02/2020,18:00,Ningxia Hui Autonomous Region,71,0,,
23/02/2020,18:00,Jiangsu,631,0,,
23/02/2020,18:00,Xinjiang Uygur Autonomous Region,76,2,,
23/02/2020,18:00,Qinghai,18,0,,
23/02/2020,18:00,Tibet Autonomous Region,1,0,,
23/02/2020,23:59,Hubei,64287,2495,,
24/02/2020,9:00,Beijing,399,4,,
24/02/2020,9:00,Liaoning,121,1,,
24/02/2020,9:00,Anhui,989,6,,
24/02/2020,9:00,Chongqing,575,6,,
24/02/2020,9:00,Shaanxi,245,1,,
24/02/2020,9:00,Tianjin,135,3,,
24/02/2020,9:00,Fujian,293,1,,
24/02/2020,9:00,Hunan,1016,4,,
24/02/2020,9:00,Sichuan,527,3,,
24/02/2020,9:00,Gansu,91,2,,
24/02/2020,9:00,Heilongjiang,480,12,,
24/02/2020,9:00,Jiangxi,934,1,,
24/02/2020,9:00,Guangdong,1345,6,,
24/02/2020,9:00,Guizhou,146,2,,
24/02/2020,9:00,Shanghai,335,3,,
24/02/2020,9:00,Shandong,755,4,,
24/02/2020,9:00,Guangxi Zhuang Autonomous Region,251,2,,
24/02/2020,9:00,Yunnan,174,2,,
24/02/2020,9:00,Inner Mongolia Autonomous Region,75,0,,
24/02/2020,9:00,Zhejiang,1205,1,,
24/02/2020,9:00,Henan,1271,19,,
24/02/2020,9:00,Hebei,311,6,,
24/02/2020,9:00,Hainan,168,5,,
24/02/2020,9:00,Jilin,93,1,,
24/02/2020,9:00,Shanxi,132,0,,
24/02/2020,9:00,Ningxia Hui Autonomous Region,71,0,,
24/02/2020,9:00,Jiangsu,631,0,,
24/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,2,,
24/02/2020,9:00,Qinghai,18,0,,
24/02/2020,9:00,Tibet Autonomous Region,1,0,,
24/02/2020,18:00,Beijing,399,4,,
24/02/2020,18:00,Liaoning,121,1,,
24/02/2020,18:00,Anhui,989,6,,
24/02/2020,18:00,Chongqing,575,6,,
24/02/2020,18:00,Shaanxi,245,1,,
24/02/2020,18:00,Tianjin,135,3,,
24/02/2020,18:00,Fujian,293,1,,
24/02/2020,18:00,Hunan,1016,4,,
24/02/2020,18:00,Sichuan,527,3,,
24/02/2020,18:00,Gansu,91,2,,
24/02/2020,18:00,Heilongjiang,480,12,,
24/02/2020,18:00,Jiangxi,934,1,,
24/02/2020,18:00,Guangdong,1345,6,,
24/02/2020,18:00,Guizhou,146,2,,
24/02/2020,18:00,Shanghai,335,3,,
24/02/2020,18:00,Shandong,755,5,,
24/02/2020,18:00,Guangxi Zhuang Autonomous Region,251,2,,
24/02/2020,18:00,Yunnan,174,2,,
24/02/2020,18:00,Inner Mongolia Autonomous Region,75,0,,
24/02/2020,18:00,Zhejiang,1205,1,,
24/02/2020,18:00,Henan,1271,19,,
24/02/2020,18:00,Hebei,311,6,,
24/02/2020,18:00,Hainan,168,5,,
24/02/2020,18:00,Jilin,93,1,,
24/02/2020,18:00,Shanxi,132,0,,
24/02/2020,18:00,Ningxia Hui Autonomous Region,71,0,,
24/02/2020,18:00,Jiangsu,631,0,,
24/02/2020,18:00,Xinjiang Uygur Autonomous Region,76,2,,
24/02/2020,18:00,Qinghai,18,0,,
24/02/2020,18:00,Tibet Autonomous Region,1,0,,
24/02/2020,23:59,Hubei,64786,2563,,
25/02/2020,9:00,Beijing,399,4,,
25/02/2020,9:00,Liaoning,121,1,,
25/02/2020,9:00,Anhui,989,6,,
25/02/2020,9:00,Chongqing,576,6,,
25/02/2020,9:00,Shaanxi,245,1,,
25/02/2020,9:00,Tianjin,135,3,,
25/02/2020,9:00,Fujian,294,1,,
25/02/2020,9:00,Hunan,1016,4,,
25/02/2020,9:00,Sichuan,529,3,,
25/02/2020,9:00,Gansu,91,2,,
25/02/2020,9:00,Heilongjiang,480,12,,
25/02/2020,9:00,Jiangxi,934,1,,
25/02/2020,9:00,Guangdong,1347,7,,
25/02/2020,9:00,Guizhou,146,2,,
25/02/2020,9:00,Shanghai,335,3,,
25/02/2020,9:00,Shandong,755,6,,
25/02/2020,9:00,Guangxi Zhuang Autonomous Region,252,2,,
25/02/2020,9:00,Yunnan,174,2,,
25/02/2020,9:00,Inner Mongolia Autonomous Region,75,0,,
25/02/2020,9:00,Zhejiang,1205,1,,
25/02/2020,9:00,Henan,1271,19,,
25/02/2020,9:00,Hebei,311,6,,
25/02/2020,9:00,Hainan,168,5,,
25/02/2020,9:00,Jilin,93,1,,
25/02/2020,9:00,Shanxi,133,0,,
25/02/2020,9:00,Ningxia Hui Autonomous Region,71,0,,
25/02/2020,9:00,Jiangsu,631,0,,
25/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,2,,
25/02/2020,9:00,Qinghai,18,0,,
25/02/2020,9:00,Tibet Autonomous Region,1,0,,
25/02/2020,18:00,Beijing,400,4,,
25/02/2020,18:00,Liaoning,121,1,,
25/02/2020,18:00,Anhui,989,6,,
25/02/2020,18:00,Chongqing,576,6,,
25/02/2020,18:00,Shaanxi,245,1,,
25/02/2020,18:00,Tianjin,135,3,,
25/02/2020,18:00,Fujian,294,1,,
25/02/2020,18:00,Hunan,1016,4,,
25/02/2020,18:00,Sichuan,529,3,,
25/02/2020,18:00,Gansu,91,2,,
25/02/2020,18:00,Heilongjiang,480,12,,
25/02/2020,18:00,Jiangxi,934,1,,
25/02/2020,18:00,Guangdong,1347,7,,
25/02/2020,18:00,Guizhou,146,2,,
25/02/2020,18:00,Shanghai,336,3,,
25/02/2020,18:00,Shandong,756,6,,
25/02/2020,18:00,Guangxi Zhuang Autonomous Region,252,2,,
25/02/2020,18:00,Yunnan,174,2,,
25/02/2020,18:00,Inner Mongolia Autonomous Region,75,0,,
25/02/2020,18:00,Zhejiang,1205,1,,
25/02/2020,18:00,Henan,1271,19,,
25/02/2020,18:00,Hebei,311,6,,
25/02/2020,18:00,Hainan,168,5,,
25/02/2020,18:00,Jilin,93,1,,
25/02/2020,18:00,Shanxi,133,0,,
25/02/2020,18:00,Ningxia Hui Autonomous Region,71,0,,
25/02/2020,18:00,Jiangsu,631,0,,
25/02/2020,18:00,Xinjiang Uygur Autonomous Region,76,2,,
25/02/2020,18:00,Qinghai,18,0,,
25/02/2020,18:00,Tibet Autonomous Region,1,0,,
25/02/2020,23:59,Hubei,65187,2615,,
26/02/2020,9:00,Beijing,400,4,,
26/02/2020,9:00,Liaoning,121,1,,
26/02/2020,9:00,Anhui,989,6,,
26/02/2020,9:00,Chongqing,576,6,,
26/02/2020,9:00,Shaanxi,245,1,,
26/02/2020,9:00,Tianjin,135,3,,
26/02/2020,9:00,Fujian,294,1,,
26/02/2020,9:00,Hunan,1016,4,,
26/02/2020,9:00,Sichuan,531,3,,
26/02/2020,9:00,Gansu,91,2,,
26/02/2020,9:00,Heilongjiang,480,12,,
26/02/2020,9:00,Jiangxi,934,1,,
26/02/2020,9:00,Guangdong,1347,7,,
26/02/2020,9:00,Guizhou,146,2,,
26/02/2020,9:00,Shanghai,336,3,,
26/02/2020,9:00,Shandong,756,6,,
26/02/2020,9:00,Guangxi Zhuang Autonomous Region,252,2,,
26/02/2020,9:00,Yunnan,174,2,,
26/02/2020,9:00,Inner Mongolia Autonomous Region,75,0,,
26/02/2020,9:00,Zhejiang,1205,1,,
26/02/2020,9:00,Henan,1271,19,,
26/02/2020,9:00,Hebei,312,6,,
26/02/2020,9:00,Hainan,168,5,,
26/02/2020,9:00,Jilin,93,1,,
26/02/2020,9:00,Shanxi,133,0,,
26/02/2020,9:00,Ningxia Hui Autonomous Region,71,0,,
26/02/2020,9:00,Jiangsu,631,0,,
26/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,2,,
26/02/2020,9:00,Qinghai,18,0,,
26/02/2020,9:00,Tibet Autonomous Region,1,0,,
26/02/2020,18:00,Beijing,400,4,,
26/02/2020,18:00,Liaoning,121,1,,
26/02/2020,18:00,Anhui,989,6,,
26/02/2020,18:00,Chongqing,576,6,,
26/02/2020,18:00,Shaanxi,245,1,,
26/02/2020,18:00,Tianjin,135,3,,
26/02/2020,18:00,Fujian,294,1,,
26/02/2020,18:00,Hunan,1016,4,,
26/02/2020,18:00,Sichuan,531,3,,
26/02/2020,18:00,Gansu,91,2,,
26/02/2020,18:00,Heilongjiang,480,12,,
26/02/2020,18:00,Jiangxi,934,1,,
26/02/2020,18:00,Guangdong,1347,7,,
26/02/2020,18:00,Guizhou,146,2,,
26/02/2020,18:00,Shanghai,336,3,,
26/02/2020,18:00,Shandong,756,6,,
26/02/2020,18:00,Guangxi Zhuang Autonomous Region,252,2,,
26/02/2020,18:00,Yunnan,174,2,,
26/02/2020,18:00,Inner Mongolia Autonomous Region,75,0,,
26/02/2020,18:00,Zhejiang,1205,1,,
26/02/2020,18:00,Henan,1271,19,,
26/02/2020,18:00,Hebei,312,6,,
26/02/2020,18:00,Hainan,168,5,,
26/02/2020,18:00,Jilin,93,1,,
26/02/2020,18:00,Shanxi,133,0,,
26/02/2020,18:00,Ningxia Hui Autonomous Region,71,0,,
26/02/2020,18:00,Jiangsu,631,0,,
26/02/2020,18:00,Xinjiang Uygur Autonomous Region,76,2,,
26/02/2020,18:00,Qinghai,18,0,,
26/02/2020,18:00,Tibet Autonomous Region,1,0,,
26/02/2020,23:59,Hubei,65596,2641,,
27/02/2020,9:00,Beijing,400,4,,
27/02/2020,9:00,Liaoning,121,1,,
27/02/2020,9:00,Anhui,989,6,,
27/02/2020,9:00,Chongqing,576,6,,
27/02/2020,9:00,Shaanxi,245,1,,
27/02/2020,9:00,Tianjin,135,3,,
27/02/2020,9:00,Fujian,296,1,,
27/02/2020,9:00,Hunan,1017,4,,
27/02/2020,9:00,Sichuan,534,3,,
27/02/2020,9:00,Gansu,91,2,,
27/02/2020,9:00,Heilongjiang,480,13,,
27/02/2020,9:00,Jiangxi,934,1,,
27/02/2020,9:00,Guangdong,1347,7,,
27/02/2020,9:00,Guizhou,146,2,,
27/02/2020,9:00,Shanghai,337,3,,
27/02/2020,9:00,Shandong,756,6,,
27/02/2020,9:00,Guangxi Zhuang Autonomous Region,252,2,,
27/02/2020,9:00,Yunnan,174,2,,
27/02/2020,9:00,Inner Mongolia Autonomous Region,75,0,,
27/02/2020,9:00,Zhejiang,1205,1,,
27/02/2020,9:00,Henan,1272,20,,
27/02/2020,9:00,Hebei,317,6,,
27/02/2020,9:00,Hainan,168,5,,
27/02/2020,9:00,Jilin,93,1,,
27/02/2020,9:00,Shanxi,133,0,,
27/02/2020,9:00,Ningxia Hui Autonomous Region,72,0,,
27/02/2020,9:00,Jiangsu,631,0,,
27/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,2,,
27/02/2020,9:00,Qinghai,18,0,,
27/02/2020,9:00,Tibet Autonomous Region,1,0,,
27/02/2020,18:00,Beijing,410,4,,
27/02/2020,18:00,Liaoning,121,1,,
27/02/2020,18:00,Anhui,989,6,,
27/02/2020,18:00,Chongqing,576,6,,
27/02/2020,18:00,Shaanxi,245,1,,
27/02/2020,18:00,Tianjin,135,3,,
27/02/2020,18:00,Fujian,296,1,,
27/02/2020,18:00,Hunan,1017,4,,
27/02/2020,18:00,Sichuan,534,3,,
27/02/2020,18:00,Gansu,91,2,,
27/02/2020,18:00,Heilongjiang,480,13,,
27/02/2020,18:00,Jiangxi,934,1,,
27/02/2020,18:00,Guangdong,1347,7,,
27/02/2020,18:00,Guizhou,146,2,,
27/02/2020,18:00,Shanghai,337,3,,
27/02/2020,18:00,Shandong,756,6,,
27/02/2020,18:00,Guangxi Zhuang Autonomous Region,252,2,,
27/02/2020,18:00,Yunnan,174,2,,
27/02/2020,18:00,Inner Mongolia Autonomous Region,75,0,,
27/02/2020,18:00,Zhejiang,1205,1,,
27/02/2020,18:00,Henan,1272,20,,
27/02/2020,18:00,Hebei,317,6,,
27/02/2020,18:00,Hainan,168,5,,
27/02/2020,18:00,Jilin,93,1,,
27/02/2020,18:00,Shanxi,133,0,,
27/02/2020,18:00,Ningxia Hui Autonomous Region,72,0,,
27/02/2020,18:00,Jiangsu,631,0,,
27/02/2020,18:00,Xinjiang Uygur Autonomous Region,76,2,,
27/02/2020,18:00,Qinghai,18,0,,
27/02/2020,18:00,Tibet Autonomous Region,1,0,,
27/02/2020,23:59,Hubei,65914,2682,,
28/02/2020,9:00,Beijing,410,7,,
28/02/2020,9:00,Liaoning,121,1,,
28/02/2020,9:00,Anhui,990,6,,
28/02/2020,9:00,Chongqing,576,6,,
28/02/2020,9:00,Shaanxi,245,1,,
28/02/2020,9:00,Tianjin,136,3,,
28/02/2020,9:00,Fujian,296,1,,
28/02/2020,9:00,Hunan,1017,4,,
28/02/2020,9:00,Sichuan,538,3,,
28/02/2020,9:00,Gansu,91,2,,
28/02/2020,9:00,Heilongjiang,480,13,,
28/02/2020,9:00,Jiangxi,935,1,,
28/02/2020,9:00,Guangdong,1348,7,,
28/02/2020,9:00,Guizhou,146,2,,
28/02/2020,9:00,Shanghai,337,3,,
28/02/2020,9:00,Shandong,756,6,,
28/02/2020,9:00,Guangxi Zhuang Autonomous Region,252,2,,
28/02/2020,9:00,Yunnan,174,2,,
28/02/2020,9:00,Inner Mongolia Autonomous Region,75,0,,
28/02/2020,9:00,Zhejiang,1205,1,,
28/02/2020,9:00,Henan,1272,20,,
28/02/2020,9:00,Hebei,318,6,,
28/02/2020,9:00,Hainan,168,5,,
28/02/2020,9:00,Jilin,93,1,,
28/02/2020,9:00,Shanxi,133,0,,
28/02/2020,9:00,Ningxia Hui Autonomous Region,72,0,,
28/02/2020,9:00,Jiangsu,631,0,,
28/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,3,,
28/02/2020,9:00,Qinghai,18,0,,
28/02/2020,9:00,Tibet Autonomous Region,1,0,,
28/02/2020,18:00,Beijing,410,7,,
28/02/2020,18:00,Liaoning,121,1,,
28/02/2020,18:00,Anhui,990,6,,
28/02/2020,18:00,Chongqing,576,6,,
28/02/2020,18:00,Shaanxi,245,1,,
28/02/2020,18:00,Tianjin,136,3,,
28/02/2020,18:00,Fujian,296,1,,
28/02/2020,18:00,Hunan,1017,4,,
28/02/2020,18:00,Sichuan,538,3,,
28/02/2020,18:00,Gansu,91,2,,
28/02/2020,18:00,Heilongjiang,480,13,,
28/02/2020,18:00,Jiangxi,935,1,,
28/02/2020,18:00,Guangdong,1348,7,,
28/02/2020,18:00,Guizhou,146,2,,
28/02/2020,18:00,Shanghai,337,3,,
28/02/2020,18:00,Shandong,756,6,,
28/02/2020,18:00,Guangxi Zhuang Autonomous Region,252,2,,
28/02/2020,18:00,Yunnan,174,2,,
28/02/2020,18:00,Inner Mongolia Autonomous Region,75,0,,
28/02/2020,18:00,Zhejiang,1205,1,,
28/02/2020,18:00,Henan,1272,20,,
28/02/2020,18:00,Hebei,318,6,,
28/02/2020,18:00,Hainan,168,5,,
28/02/2020,18:00,Jilin,93,1,,
28/02/2020,18:00,Shanxi,133,0,,
28/02/2020,18:00,Ningxia Hui Autonomous Region,72,0,,
28/02/2020,18:00,Jiangsu,631,0,,
28/02/2020,18:00,Xinjiang Uygur Autonomous Region,76,3,,
28/02/2020,18:00,Qinghai,18,0,,
28/02/2020,18:00,Tibet Autonomous Region,1,0,,
28/02/2020,23:59,Hubei,66337,2727,,
29/02/2020,9:00,Beijing,410,7,,
29/02/2020,9:00,Liaoning,121,1,,
29/02/2020,9:00,Anhui,990,6,,
29/02/2020,9:00,Chongqing,576,6,,
29/02/2020,9:00,Shaanxi,245,1,,
29/02/2020,9:00,Tianjin,136,3,,
29/02/2020,9:00,Fujian,296,1,,
29/02/2020,9:00,Hunan,1018,4,,
29/02/2020,9:00,Sichuan,538,3,,
29/02/2020,9:00,Gansu,91,2,,
29/02/2020,9:00,Heilongjiang,480,13,,
29/02/2020,9:00,Jiangxi,935,1,,
29/02/2020,9:00,Guangdong,1349,7,,
29/02/2020,9:00,Guizhou,146,2,,
29/02/2020,9:00,Shanghai,337,3,,
29/02/2020,9:00,Shandong,756,6,,
29/02/2020,9:00,Guangxi Zhuang Autonomous Region,252,2,,
29/02/2020,9:00,Yunnan,174,2,,
29/02/2020,9:00,Inner Mongolia Autonomous Region,75,0,,
29/02/2020,9:00,Zhejiang,1205,1,,
29/02/2020,9:00,Henan,1272,21,,
29/02/2020,9:00,Hebei,318,6,,
29/02/2020,9:00,Hainan,168,5,,
29/02/2020,9:00,Jilin,93,1,,
29/02/2020,9:00,Shanxi,133,0,,
29/02/2020,9:00,Ningxia Hui Autonomous Region,72,0,,
29/02/2020,9:00,Jiangsu,631,0,,
29/02/2020,9:00,Xinjiang Uygur Autonomous Region,76,3,,
29/02/2020,9:00,Qinghai,18,0,,
29/02/2020,9:00,Tibet Autonomous Region,1,0,,
29/02/2020,18:00,Beijing,411,8,,
29/02/2020,18:00,Liaoning,121,1,,
29/02/2020,18:00,Anhui,990,6,,
29/02/2020,18:00,Chongqing,576,6,,
29/02/2020,18:00,Shaanxi,245,1,,
29/02/2020,18:00,Tianjin,136,3,,
29/02/2020,18:00,Fujian,296,1,,
29/02/2020,18:00,Hunan,1018,4,,
29/02/2020,18:00,Sichuan,538,3,,
29/02/2020,18:00,Gansu,91,2,,
29/02/2020,18:00,Heilongjiang,480,13,,
29/02/2020,18:00,Jiangxi,935,1,,
29/02/2020,18:00,Guangdong,1349,7,,
